District Name,District Code,Total # of Classes,Average Class Size,Number of Students,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %"
Hancock,1210000,76,7,56,3.6,3.6,1.8,89.3,0,0,1.8
Hanover,1220000,"1,468",17.7,"2,641",1.3,2.3,2.4,93.3,0,0,0.6
Harvard,1250000,600,14.2,"1,008",2.4,12.6,4.5,75.9,0,0,4.7
Hatfield,1270000,293,12.1,394,0.3,1,4.3,92.4,0,0,2
Haverhill,1280000,"3,998",17.2,"7,848",5.2,1.8,40.9,49.7,0.2,0.1,2.1
Hawlemont,6850000,39,15.5,124,0,0,4.8,90.3,0.8,0,4
Helen Y. Davis Leadership Academy Charter Public (District),4190000,64,14.7,189,75.7,0,22.2,1.1,0,0.5,0.5
Hill View Montessori Charter Public (District),4550000,122,20.7,304,5.3,0.3,29.3,61.2,0,0,4
Hilltown Cooperative Charter Public (District),4500000,53,25.7,218,0.9,2.8,3.2,79.8,0,0,13.3
Hingham,1310000,"2,293",13.4,"3,941",1.9,2.9,3.6,88.2,0.1,0,3.4
Holbrook,1330000,695,15.3,"1,281",21.6,5.9,14.4,50.1,0.3,0,7.7
Holland,1350000,79,15.3,202,1,1.5,7.9,87.1,0.5,0,2
Holliston,1360000,"1,210",21.7,"2,776",1.2,9.6,5.4,80.6,0.3,0.2,2.8
Holyoke,1370000,"2,310",17.1,"5,095",3.3,0.6,80.8,13.9,0.1,0,1.4
Holyoke Community Charter (District),4530000,184,22.8,701,0.7,1,92.7,3.7,0,0,1.9
Hoosac Valley Regional,6030000,565,14.6,980,3,0.6,3,91.1,0.2,0,2.1
Hopedale,1380000,733,12.8,"1,094",1.1,1.8,9.5,82.5,0.2,0.2,4.8
Hopkinton,1390000,"2,249",19.7,"3,974",0.7,24.1,4.1,66.6,0.3,0,4.2
Hudson,1410000,"1,414",15.4,"2,432",2.3,1.6,15.3,77.8,0.2,0,2.9
Hull,1420000,525,10.1,812,1.5,1.4,4.3,90.3,0.1,0,2.5
Innovation Academy Charter (District),4350000,658,12.4,787,8.3,8.5,11.2,67.1,0.1,0,4.8
Ipswich,1440000,"1,017",15.1,"1,604",1.3,1.3,7.1,86.3,0.1,0,4
KIPP Academy Boston Charter School (District),4630000,127,31.9,620,65.2,0,32.9,0.5,0.5,0,1
KIPP Academy Lynn Charter (District),4290000,483,24.3,"1,611",18.3,3.3,69.9,5.7,0.2,0.1,2.6
King Philip,6900000,815,18,"1,943",2.3,2.6,4.6,87.8,0.2,0,2.5
Kingston,1450000,402,19.9,"1,028",0.5,0.6,2.5,95.3,0.3,0,0.8
Lawrence,1490000,"6,805",17.9,"13,204",1.3,1.2,93.8,3.2,0,0,0.4
Lawrence Family Development Charter (District),4540000,406,19.1,795,0.4,0.1,98.6,0.9,0,0,0
Learning First Charter Public School (District),4860000,234,24.7,666,45.8,0.2,45.8,6.2,0,0,2.1
Lee,1500000,686,8.2,673,0.9,2.8,8.6,84.3,0.3,0,3.1
Leicester,1510000,933,13.7,"1,387",5.6,3.1,13.5,74.5,0.1,0,3.2
Lenox,1520000,569,12.1,744,0.5,5,9.3,80,0,0.3,5
Leominster,1530000,"2,363",19.6,"5,969",8.8,3.4,39,44.4,0.1,0.1,4.4
Leverett,1540000,57,16.9,118,0,0,2.5,89,0,0,8.5
Lexington,1550000,"3,443",17.4,"6,945",3.9,41.9,4.8,41.8,0.1,0,7.5
Libertas Academy Charter School (District),35140000,80,18.7,262,14.5,0.8,80.2,2.3,0.8,0,1.5
Lincoln,1570000,275,21.6,"1,029",10,5.1,17.6,55.1,0.2,0.6,11.5
Lincoln-Sudbury,6950000,"1,138",17.8,"1,522",5.3,4.3,5.3,77.3,0.1,0.1,7.7
Littleton,1580000,807,17.6,"1,578",0.9,12.4,3.2,80.8,0.2,0.2,2.3
Longmeadow,1590000,"1,566",15.5,"2,765",2.6,10.5,5.8,76.6,0,0.1,4.4
Lowell,1600000,"8,901",18.1,"14,364",8.1,27.9,35.6,24.4,0,0,4
Lowell Community Charter Public (District),4560000,234,20.6,796,24.5,18.2,48.7,4.7,0,0,3.9
Lowell Middlesex Academy Charter (District),4580000,101,11.3,81,3.7,7.4,39.5,39.5,0,0,9.9
Ludlow,1610000,"1,596",11.3,"2,402",1.9,0.7,12.9,80.8,0,0.1,3.5
Lunenburg,1620000,890,17,"1,595",2,1.5,9.5,83.4,0.3,0.6,2.7
