District Name,District Code,Churn/Intake Enroll,% Churn,% Intake,Stability Enroll,% Stability
Chesterfield-Goshen,6320000,120,12.5,10.8,107,98.1
Chicopee,610000,"7,165",11.4,6,"6,867",93
Christa McAuliffe Charter Public (District),4180000,405,3,1,402,97.8
City on a Hill Charter Public School Circuit Street (District),4370000,307,10.4,0,307,89.6
Clarksburg,630000,195,4.1,2.6,190,98.4
Clinton,640000,"1,922",9.8,6,"1,836",94.4
Codman Academy Charter Public (District),4380000,357,7.6,3.9,351,94
Cohasset,650000,"1,460",3.1,1.6,"1,443",98.1
Collegiate Charter School of Lowell (District),35030000,"1,049",9.1,5.2,"1,023",93.3
Community Charter School of Cambridge (District),4360000,309,2.9,1.6,304,98.7
Community Day Charter Public School - Gateway (District),4260000,402,1.7,1.2,400,98.8
Community Day Charter Public School - Prospect (District),4400000,400,0.3,0.3,399,100
Community Day Charter Public School - R. Kingman Webster (District),4310000,404,3.7,2.7,400,97.3
Concord,670000,"2,059",5.4,3.6,"2,005",97.4
Concord-Carlisle,6400000,"1,324",1.4,0.7,"1,317",99.2
Conservatory Lab Charter (District),4390000,468,6,1.5,462,95.2
Conway,680000,131,6.1,5.3,124,99.2
Danvers,710000,"3,396",5.5,3.1,"3,311",97
Dartmouth,720000,"3,508",7.8,5.4,"3,428",94.4
Dedham,730000,"2,645",7.7,4.2,"2,584",94.5
Deerfield,740000,327,7,3.4,317,95.9
Dennis-Yarmouth,6450000,"2,897",11.6,7.6,"2,750",93.8
Dighton-Rehoboth,6500000,"2,670",4.2,2.2,"2,615",98
Douglas,770000,"1,210",8.1,6,"1,155",96.3
Dover,780000,497,5.4,4.2,476,98.7
Dover-Sherborn,6550000,"1,198",2.8,1.2,"1,185",98.2
Dracut,790000,"3,802",7.4,4,"3,679",95.7
Dudley Street Neighborhood Charter School (District),4070000,289,4.5,0,289,95.5
Dudley-Charlton Reg,6580000,"3,561",7,3.7,"3,452",96.6
Duxbury,820000,"2,836",2.9,1.7,"2,803",98.3
East Bridgewater,830000,"2,147",5.9,3.3,"2,084",97
East Longmeadow,870000,"2,476",5.7,3.2,"2,407",97.1
Eastham,850000,207,11.1,6.3,194,94.8
Easthampton,860000,"1,501",7.6,3.2,"1,465",94.7
Easton,880000,"3,491",5.7,4,"3,415",96.8
Edgartown,890000,415,16.4,12.5,382,90.8
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,404,8.7,6.7,386,95.6
Erving,910000,118,8.5,4.2,114,94.7
Essex North Shore Agricultural and Technical School District,8170000,"1,572",2,0.7,"1,568",98.2
Everett,930000,"7,544",17.3,9,"7,022",89.6
Excel Academy Charter (District),4100000,"1,414",3.6,2.1,"1,393",97.8
Fairhaven,940000,"1,973",7.2,3.2,"1,921",95.3
Fall River,950000,"10,693",13.9,7.7,"10,056",92.8
Falmouth,960000,"3,136",8.6,4.5,"3,010",95.3
Farmington River Reg,6620000,118,7.6,7.6,109,100
Fitchburg,970000,"5,452",14.4,9.3,"5,133",91.6
Florida,980000,87,8,6.9,81,98.8
Four Rivers Charter Public (District),4130000,223,6.7,2.7,217,95.9
Foxborough,990000,"2,531",5.8,3.3,"2,462",96.8
Foxborough Regional Charter (District),4460000,"1,717",2,0,"1,717",98
Framingham,1000000,"9,276",11.8,6.9,"8,796",93.1
Francis W. Parker Charter Essential (District),4780000,408,6.1,2.2,399,96
Franklin,1010000,"4,925",3.8,2.1,"4,830",98.2
Franklin County Regional Vocational Technical,8180000,560,4.6,0.9,557,95.9
Freetown-Lakeville,6650000,"2,809",6.4,3.9,"2,711",97
Frontier,6700000,669,6.6,3,653,95.7
Gardner,1030000,"2,372",14,7.2,"2,225",92.9
Gateway,6720000,784,7.3,3.7,756,96.2
Georgetown,1050000,"1,237",3.3,2.3,"1,220",98
Gill-Montague,6740000,887,8.6,5.7,852,95.2
Global Learning Charter Public (District),4960000,514,6,3.1,506,95.5
Gloucester,1070000,"2,895",9,4.8,"2,772",95.3
Gosnold,1090000,8,12.5,12.5,7,100
Grafton,1100000,"3,199",4.6,2.8,"3,126",97.7
Granby,1110000,735,6.3,3,718,96
Greater Fall River Regional Vocational Technical,8210000,"1,463",3.1,0.8,"1,458",97.2
Greater Lawrence Regional Vocational Technical,8230000,"1,642",1.9,0.9,"1,637",98.4
Greater Lowell Regional Vocational Technical,8280000,"2,315",2.8,0.9,"2,309",97.4
Greater New Bedford Regional Vocational Technical,8250000,"2,120",2.6,0.2,"2,119",97.4
Greenfield,1140000,"1,602",8.6,4.9,"1,546",95
Greenfield Commonwealth Virtual District,39010000,"1,191",38.1,28.5,969,76.1
Groton-Dunstable,6730000,"2,296",2.8,1.5,"2,267",98.5
Hadley,1170000,528,7.4,4.4,509,96.1
Halifax,1180000,583,5,2.4,570,97.2
Hamilton-Wenham,6750000,"1,751",7.3,2.6,"1,724",94.6
Hampden Charter School of Science East (District),4990000,548,4.7,2.6,540,96.7
Hampden Charter School of Science West (District),35160000,331,7.6,3.9,321,95.3
Hampden-Wilbraham,6800000,"2,957",5.3,3.3,"2,878",97.3
Hampshire,6830000,694,3.6,1.4,685,97.7
Hancock,1210000,63,23.8,12.7,57,84.2
Hanover,1220000,"2,657",2.6,1.8,"2,615",99
Harvard,1250000,"1,036",5.3,2.9,"1,008",97.3
Hatfield,1270000,405,4.7,2,400,96.5
Haverhill,1280000,"8,153",9.8,5.3,"7,779",95.3
Hawlemont,6850000,132,16.7,9.1,126,87.3
Helen Y. Davis Leadership Academy Charter Public (District),4190000,204,12.3,6.4,200,89.5
Hill View Montessori Charter Public (District),4550000,315,6,2.9,306,96.7
Hilltown Cooperative Charter Public (District),4500000,218,0,0,218,100
Hingham,1310000,"4,015",5.2,2.3,"3,946",96.5
Holbrook,1330000,"1,321",8.7,4.6,"1,274",94.7
Holland,1350000,204,5.9,4.9,198,97
Holliston,1360000,"2,803",3.2,1.9,"2,758",98.4
Holyoke,1370000,"5,545",15.6,7.9,"5,206",90.4
Holyoke Community Charter (District),4530000,712,3.7,2.1,702,97.7
Hoosac Valley Regional,6030000,"1,068",8.8,3.1,"1,041",93.6
Hopedale,1380000,"1,111",2.7,1.2,"1,100",98.3
Hopkinton,1390000,"4,014",3.6,2.3,"3,930",98.4
Hudson,1410000,"2,513",8.2,4.1,"2,428",95
Hull,1420000,839,8.9,5.5,804,95
Innovation Academy Charter (District),4350000,801,4.2,1.5,793,96.7
Ipswich,1440000,"1,631",4.3,2.5,"1,599",97.6
King Philip,6900000,"1,975",3.6,1.8,"1,946",97.8
Kingston,1450000,"1,063",5.7,2.4,"1,047",95.7
KIPP Academy Boston Charter School (District),4630000,636,6.4,4.2,618,96.3
KIPP Academy Lynn Charter (District),4290000,"1,623",1.8,0.5,"1,617",98.5
Lawrence,1490000,"13,856",14.3,10.1,"12,931",92.6
Lawrence Family Development Charter (District),4540000,807,3.7,2.2,789,98.5
Learning First Charter Public School (District),4860000,687,6.1,3.1,678,95.1
Lee,1500000,702,5.7,2.4,686,96.5
Leicester,1510000,"1,428",7.9,4.3,"1,382",95.2
Lenox,1520000,765,4.7,2.4,756,96.4
Leominster,1530000,"6,130",10.2,5.7,"5,873",94.8
Leverett,1540000,123,13,8.9,118,90.7
Lexington,1550000,"7,072",5.1,2.7,"6,922",97.1
Libertas Academy Charter School (District),35140000,268,8.2,4.1,265,92.8
Lincoln,1570000,"1,158",19.8,8.5,"1,063",87.7
Lincoln-Sudbury,6950000,"1,536",2.3,0.5,"1,530",98
Littleton,1580000,"1,608",4.2,2.5,"1,574",97.8
Longmeadow,1590000,"2,810",3.9,2.3,"2,757",98.1
Lowell,1600000,"14,812",10.4,5.1,"14,187",94.1
Lowell Community Charter Public (District),4560000,811,2.6,0.7,805,98.1
Lowell Middlesex Academy Charter (District),4580000,101,35.6,16.8,89,73
Ludlow,1610000,"2,460",5.7,2.4,"2,406",96.6
Lunenburg,1620000,"1,652",8.7,3.9,"1,603",94.1
Lynn,1630000,"16,224",9.7,5.9,"15,582",94.5
Lynnfield,1640000,"2,198",3.3,2.1,"2,170",98
Ma Academy for Math and Science,4680000,98,6.1,0,98,93.9
Malden,1650000,"6,552",16.7,11.4,"6,077",89.9
Manchester Essex Regional,6980000,"1,295",4.5,2,"1,275",97.1
Mansfield,1670000,"3,594",5.3,3.3,"3,509",97
Map Academy Charter School (District),35170000,224,18.8,6.7,209,87.1
Marblehead,1680000,"2,765",5.2,2,"2,724",97.1
Marblehead Community Charter Public (District),4640000,224,13.8,8.9,211,91.5
Marion,1690000,426,10.8,5.4,409,92.9
Marlborough,1700000,"5,007",13.4,7.5,"4,692",93.3
Marshfield,1710000,"3,861",7,5.6,"3,761",95.6
Martha's Vineyard,7000000,705,7.1,3.3,690,94.9
Martha's Vineyard Charter (District),4660000,182,12.6,3.8,176,90.3
Martin Luther King Jr. Charter School of Excellence (District),4920000,370,4.3,1.6,366,96.7
Masconomet,7050000,"1,702",1.9,1.1,"1,686",99.1
Mashpee,1720000,"1,543",9.4,4.8,"1,481",94.4
MATCH Charter Public School (District),4690000,"1,242",7.6,5.5,"1,212",94.7
Mattapoisett,1730000,417,3.8,2.6,407,98.5
Maynard,1740000,"1,238",10.1,5.4,"1,185",93.9
Medfield,1750000,"2,558",3.5,1.8,"2,519",98
Medford,1760000,"4,112",8.9,4.7,"3,949",95.5
Medway,1770000,"2,118",3.4,1.9,"2,078",98.5
Melrose,1780000,"3,824",8.1,2.5,"3,739",96.1
Mendon-Upton,7100000,"2,222",5.3,2.6,"2,170",97
Methuen,1810000,"6,824",10.5,6.5,"6,473",94.8
Middleborough,1820000,"3,005",6.5,3.1,"2,940",95.6
Middleton,1840000,697,4.7,2.7,679,97.8
Milford,1850000,"4,444",11.4,7.1,"4,241",93.1
Millbury,1860000,"1,627",5.6,2.9,"1,600",96
Millis,1870000,"1,188",4.4,2.4,"1,161",97.8
Milton,1890000,"4,456",4.6,2.2,"4,382",97
Minuteman Regional Vocational Technical,8300000,637,2.7,0.3,636,97.5
Mohawk Trail,7170000,783,11.6,6.4,747,92.9
Monomoy Regional School District,7120000,"1,826",6.7,3.1,"1,782",95.7
Monson,1910000,882,7,2.6,865,94.8
Montachusett Regional Vocational Technical,8320000,"1,430",3.6,0.7,"1,427",96.6
Mount Greylock,7150000,"1,120",6.8,2.9,"1,094",95.4
Mystic Valley Regional Charter (District),4700000,"1,664",5.6,2.3,"1,638",95.8
Nahant,1960000,159,8.8,6.3,149,97.3
Nantucket,1970000,"1,738",10.7,6.3,"1,673",92.8
Narragansett,7200000,"1,398",10.1,5.4,"1,337",94
Nashoba,7250000,"3,157",5.4,3.1,"3,096",96.6
Nashoba Valley Regional Vocational Technical,8520000,735,3.7,1.8,727,97.4
Natick,1980000,"5,389",5.4,3.4,"5,264",96.9
Nauset,6600000,"1,477",6.9,2.7,"1,441",95.4
