District Name,District Code,K,1,2,3,4,5,6,7,8,9,10,11,ALL
Marion,1690000,12.3,8.3,7.1,11.9,6.3,4.9,,,,,,,8.4
Marlborough,1700000,7.1,7.3,9.4,9.8,7.1,13.5,5.4,3.8,39.4,6.3,5.7,3.4,9.6
Marshfield,1710000,6.5,6.6,4.9,3,2.2,4.3,4.8,3.9,8.6,2.7,1.2,1,4
Martha's Vineyard,7000000,,,,,,,,,,1.1,2.6,1.2,1.6
Martha's Vineyard Charter (District),4660000,15.4,5.9,0,8.3,5.9,12.5,6.7,5.3,70,,6.3,28.6,15.4
Martin Luther King Jr. Charter School of Excellence (District),4920000,10.8,1.7,3.4,3.2,3.3,,,,,,,,4.6
Masconomet,7050000,,,,,,,,3.4,20.4,3.1,4.8,2.1,7.1
Mashpee,1720000,12.1,10.5,11.1,8.8,8.3,5.1,8.9,4.8,20.9,2.5,3.6,0.9,7.9
Mattapoisett,1730000,3.8,3.4,10,3.6,7.9,5.6,,,,,,,5.8
Maynard,1740000,9,14.6,2.7,3.1,6.1,19.5,11,4.2,26.2,4.2,5.4,1.3,8.8
Medfield,1750000,9.1,4.7,2.7,3,1.9,3.6,6.3,2.2,8.1,2,3.6,2,4.1
Medford,1760000,15.9,7.8,8.1,8.4,7.9,9.5,6.6,3.9,7.8,2.6,2.9,2,7
Medway,1770000,5.4,4.7,7.1,4,2.9,3,4.4,3.5,17.6,1.3,1.7,3.2,4.9
Melrose,1780000,9.1,6.3,9,3.9,6.1,9.6,5.2,4.7,17.2,4.1,2.1,2.1,6.7
Mendon-Upton,7100000,7.8,5.7,3.6,8.5,4.4,4.4,3.1,1.4,27.1,2,1.2,1.9,6.2
Methuen,1810000,7.4,9.2,8.7,7.2,6,6.8,6.6,4,29.5,3.5,4.2,3.3,8.2
Middleborough,1820000,13.2,10.4,9.5,10.4,5.6,4.4,3.8,2.7,24.1,2.8,1,2.2,7.8
Middleton,1840000,2.3,8.5,9.4,7.1,6,6.7,,,,,,,6.7
Milford,1850000,7.5,10.7,5.8,6.3,7.1,6.1,2.9,3.6,18.5,4.3,5.2,6.1,7
Millbury,1860000,8,8.3,8.3,11.3,9.5,9.9,11.9,2.6,18.5,4.7,0,0,7.9
Millis,1870000,8.8,3.9,4.2,2.5,6,1,2.6,4.2,14.6,2.6,2.8,3.2,4.8
Milton,1890000,6.2,3.5,3.1,4,4.9,10.6,14.9,6.5,9.8,3.7,1.4,0.7,5.9
Minuteman Regional Vocational Technical,8300000,,,,,,,,,,5.3,4.7,1.4,3.9
Mohawk Trail,7170000,20.4,13.6,15.5,11.8,10.9,14.1,26.8,12.3,49.3,15.2,8.2,5.8,17.3
Monomoy Regional School District,7120000,12.5,11.3,14.1,6.2,4.8,9.8,2.2,4.4,22.7,5.5,2.3,0.8,8
Monson,1910000,12.5,2.9,6.3,5.9,3.9,1.3,6.8,5.1,39.7,0,1.5,3.3,7.7
Montachusett Regional Vocational Technical,8320000,,,,,,,,,,4.6,3.2,0.6,2.8
Mount Greylock,7150000,13.4,10.8,11.9,6.3,5.4,9.3,13,9,17.1,2.4,8,1.2,9.2
Mystic Valley Regional Charter (District),4700000,2,3.9,1.3,4.7,3.1,5.6,2,5.3,9.1,3.3,6.1,1.1,3.9
Nahant,1960000,0,0,6.7,23.8,17.4,0,,,,,,,9.3
Nantucket,1970000,4.8,10.5,9.9,8.7,5.1,2.9,3.9,3.2,8.4,2.1,2.9,5.3,5.5
