District Name,District Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12
Greater Lawrence Regional Vocational Technical,08230000,"   1,634",       3,   0.2,   0.0,   0.0,   0.5,   0.3
Greater Lowell Regional Vocational Technical,08280000,"   2,278",       2,   0.1,   0.0,   0.0,   0.2,   0.2
Greater New Bedford Regional Vocational Technical,08250000,"   2,113",      12,   0.6,   0.5,   0.0,   1.2,   0.6
Greenfield,01140000,     364,       6,   1.6,   1.1,   3.4,   1.9,   0.0
Greenfield Commonwealth Virtual District,39010000,     424,      63,  14.9,  12.9,  17.9,  14.9,  14.0
Groton-Dunstable,06730000,     716,       1,   0.1,   0.0,   0.0,   0.5,   0.0
Hadley,01170000,     166,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Hamilton-Wenham,06750000,     524,       3,   0.6,   0.8,   0.0,   0.8,   0.7
Hampden Charter School of Science East (District),04990000,     281,       1,   0.4,   0.0,   1.1,   0.0,   0.0
Hampden Charter School of Science West (District),35160000,     127,       4,   3.1,   6.8,   0.0,   0.0,
Hampden-Wilbraham,06800000,"   1,025",       6,   0.6,   1.5,   0.8,   0.0,   0.0
Hampshire,06830000,     433,       4,   0.9,   2.0,   0.0,   0.0,   2.0
Hanover,01220000,     757,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Harvard,01250000,     345,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Hatfield,01270000,     113,       1,   0.9,   0.0,   0.0,   0.0,   4.0
Haverhill,01280000,"   1,879",      45,   2.4,   3.4,   2.2,   1.5,   2.3
Hingham,01310000,"   1,282",       2,   0.2,   0.0,   0.0,   0.0,   0.6
Holbrook,01330000,     298,       5,   1.7,   0.0,   5.1,   0.0,   1.8
Holliston,01360000,     806,       5,   0.6,   0.0,   1.0,   0.0,   1.5
Holyoke,01370000,"   1,566",     120,   7.7,   1.7,   5.8,   8.7,  13.2
Hoosac Valley Regional,06030000,     239,       6,   2.5,   0.0,   1.7,   1.4,   8.5
Hopedale,01380000,     306,       2,   0.7,   0.0,   0.0,   1.2,   1.4
Hopkinton,01390000,"   1,191",       0,   0.0,   0.0,   0.0,   0.0,   0.0
Hudson,01410000,     666,      28,   4.2,   2.9,   3.8,   8.3,   1.4
Hull,01420000,     262,       1,   0.4,   0.0,   1.5,   0.0,   0.0
Innovation Academy Charter (District),04350000,     388,       7,   1.8,   2.8,   2.0,   1.2,   1.0
Ipswich,01440000,     535,       6,   1.1,   0.7,   1.6,   1.4,   0.7
KIPP Academy Lynn Charter (District),04290000,     491,       2,   0.4,   0.8,   0.0,   0.9,   0.0
King Philip,06900000,"   1,208",       8,   0.7,   0.0,   0.0,   1.5,   1.0
Lawrence,01490000,"   3,339",      71,   2.1,   4.5,   1.1,   2.0,   1.1
Lee,01500000,     236,       1,   0.4,   0.0,   1.6,   0.0,   0.0
Leicester,01510000,     440,       8,   1.8,   2.7,   1.0,   0.0,   4.0
Lenox,01520000,     262,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Leominster,01530000,"   1,888",      10,   0.5,   0.2,   0.6,   0.6,   0.6
Lexington,01550000,"   2,261",       7,   0.3,   0.2,   0.3,   0.2,   0.6
Lincoln-Sudbury,06950000,"   1,519",       6,   0.4,   0.0,   0.6,   0.7,   0.3
Littleton,01580000,     432,       1,   0.2,   0.0,   0.0,   0.0,   0.9
Longmeadow,01590000,     900,       1,   0.1,   0.0,   0.0,   0.0,   0.5
Lowell,01600000,"   3,161",      86,   2.7,   1.8,   2.8,   2.9,   3.6
Lowell Middlesex Academy Charter (District),04580000,      88,      12,  13.6,   4.3,  35.0,  10.0,   8.0
Ludlow,01610000,     843,      16,   1.9,   1.4,   2.3,   1.9,   2.0
Lunenburg,01620000,     474,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Lynn,01630000,"   4,828",     149,   3.1,   0.8,   4.8,   4.2,   2.2
Lynnfield,01640000,     600,       1,   0.2,   0.0,   0.0,   0.7,   0.0
MATCH Charter Public School (District),04690000,     314,       4,   1.3,   0.0,   0.0,   1.4,   4.1
Ma Academy for Math and Science,04680000,      98,       0,   0.0,,,   0.0,   0.0
Malden,01650000,"   1,716",      61,   3.6,   2.3,   4.8,   4.5,   2.5
Manchester Essex Regional,06980000,     459,       1,   0.2,   0.0,   0.0,   0.0,   0.8
Mansfield,01670000,"   1,193",       5,   0.4,   0.4,   0.0,   1.1,   0.3
Map Academy Charter School (District),35170000,     206,      29,  14.1,  15.4,   7.8,  15.1,  18.6
Marblehead,01680000,     948,       2,   0.2,   0.0,   0.0,   0.4,   0.4
Marlborough,01700000,     994,      33,   3.3,   0.5,   6.9,   3.2,   1.9
Marshfield,01710000,"   1,220",       5,   0.4,   0.0,   0.9,   0.0,   0.7
Martha's Vineyard,07000000,     685,      12,   1.8,   0.6,   1.1,   4.9,   0.6
Martha's Vineyard Charter (District),04660000,      35,       0,   0.0,   0.0,,   0.0,
Masconomet,07050000,"   1,108",       2,   0.2,   0.0,   0.4,   0.0,   0.4
Mashpee,01720000,     442,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Maynard,01740000,     311,       9,   2.9,   2.9,   1.4,   3.3,   3.8
Medfield,01750000,     773,       2,   0.3,   0.5,   0.0,   0.0,   0.5
Medford,01760000,"   1,266",      18,   1.4,   0.3,   2.0,   2.3,   1.0
Medway,01770000,     631,       4,   0.6,   0.0,   0.0,   1.1,   1.3
Melrose,01780000,     923,       7,   0.8,   0.9,   0.0,   1.2,   0.9
Mendon-Upton,07100000,     634,       5,   0.8,   0.0,   0.0,   1.1,   1.9
Methuen,01810000,"   1,906",      15,   0.8,   1.2,   1.0,   0.6,   0.4
Middleborough,01820000,     826,       7,   0.8,   0.9,   1.0,   0.5,   1.1
Milford,01850000,"   1,241",      67,   5.4,   5.5,   5.5,   4.6,   6.1
Millbury,01860000,     461,       5,   1.1,   0.8,   1.5,   0.0,   1.7
Millis,01870000,     332,       1,   0.3,   1.0,   0.0,   0.0,   0.0
Milton,01890000,"   1,118",       1,   0.1,   0.0,   0.0,   0.4,   0.0
Minuteman Regional Vocational Technical,08300000,     635,       8,   1.3,   0.0,   1.1,   3.0,   1.4
Mohawk Trail,07170000,     159,       4,   2.5,   0.0,   3.6,   6.5,   0.0
Monomoy Regional School District,07120000,     490,       8,   1.6,   0.9,   0.8,   0.8,   4.1
Monson,01910000,     212,       4,   1.9,   4.3,   0.0,   3.0,   0.0
Montachusett Regional Vocational Technical,08320000,"   1,417",       6,   0.4,   0.6,   0.3,   0.6,   0.3
Mount Greylock,07150000,     364,       1,   0.3,   0.0,   1.1,   0.0,   0.0
Mystic Valley Regional Charter (District),04700000,     360,       1,   0.3,   0.0,   0.0,   0.0,   1.2
Nantucket,01970000,     522,       5,   1.0,   0.0,   1.4,   2.2,   0.0
Narragansett,07200000,     298,       9,   3.0,   1.1,   2.6,   2.6,   7.3
Nashoba,07250000,     914,       9,   1.0,   1.3,   1.5,   0.8,   0.4
Nashoba Valley Regional Vocational Technical,08520000,     725,       5,   0.7,   0.5,   0.0,   0.6,   1.7
Natick,01980000,"   1,550",      10,   0.6,   0.0,   0.5,   0.3,   1.7
Nauset,06600000,     854,       9,   1.1,   0.5,   0.5,   1.8,   1.3
Needham,01990000,"   1,669",       1,   0.1,   0.0,   0.0,   0.0,   0.2
Neighborhood House Charter (District),04440000,     266,       5,   1.9,   2.5,   2.9,   1.6,   0.0
New Bedford,02010000,"   2,872",     177,   6.2,   3.0,   6.6,   9.6,   5.5
New Heights Charter School of Brockton (District),35130000,     380,       3,   0.8,   1.0,   0.0,   1.0,   1.1
Newburyport,02040000,     798,       1,   0.1,   0.0,   0.0,   0.0,   0.5
Newton,02070000,"   3,913",       9,   0.2,   0.1,   0.1,   0.1,   0.6
Norfolk County Agricultural,09150000,     588,       1,   0.2,   0.0,   0.0,   0.0,   0.8
North Adams,02090000,     301,       8,   2.7,   1.1,   5.2,   3.1,   1.4
North Andover,02110000,"   1,377",       3,   0.2,   0.0,   0.0,   0.3,   0.5
North Attleborough,02120000,"   1,089",      10,   0.9,   0.3,   1.9,   0.7,   0.7
North Brookfield,02150000,     133,       5,   3.8,   0.0,   8.7,   3.0,   7.1
North Middlesex,07350000,     786,       6,   0.8,   0.5,   0.6,   1.4,   0.5
North Reading,02170000,     661,       1,   0.2,   0.0,   0.6,   0.0,   0.0
Northampton,02100000,     860,       3,   0.3,   0.0,   0.4,   0.5,   0.4
Northampton-Smith Vocational Agricultural,04060000,     528,       7,   1.3,   0.0,   1.4,   0.9,   3.3
Northboro-Southboro,07300000,"   1,345",       6,   0.4,   0.0,   0.3,   0.6,   0.8
Northbridge,02140000,     525,      13,   2.5,   2.2,   2.3,   2.1,   3.5
Northeast Metropolitan Regional Vocational Technical,08530000,"   1,281",       3,   0.2,   0.0,   0.9,   0.0,   0.0
Northern Berkshire Regional Vocational Technical,08510000,     506,       4,   0.8,   0.0,   0.7,   2.5,   0.0
Norton,02180000,     680,       4,   0.6,   0.0,   0.6,   1.2,   0.6
Norwell,02190000,     643,       1,   0.2,   0.0,   0.0,   0.6,   0.0
Norwood,02200000,     968,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Old Colony Regional Vocational Technical,08550000,     563,       1,   0.2,   0.0,   0.0,   0.8,   0.0
Old Rochester,07400000,     710,       6,   0.8,   0.0,   0.0,   2.5,   0.5
Oxford,02260000,     391,       7,   1.8,   0.0,   3.2,   1.1,   3.1
Palmer,02270000,     276,       9,   3.3,   1.6,   4.1,   1.7,   4.9
Pathfinder Regional Vocational Technical,08600000,     610,      12,   2.0,   0.6,   3.7,   2.0,   1.4
