DISTRICT,Org Code,PK-2 (# ),3-5 (# ),6-8 (# ),9-12 (# ),Multiple Grades (# ),All Grades (# ),FTE Count
Lowell,01600000,256.8,237.5,267.6,222,44,64.1,"1,092.00"
Lowell Community Charter Public (District),04560000,16.7,14.7,14.9,0,0,18.5,64.8
Lowell Middlesex Academy Charter (District),04580000,0,0,0,7,0,0,7
Ludlow,01610000,45.9,44.4,52,77.1,0,0.6,219.9
Lunenburg,01620000,23.7,21.9,27.3,23.7,12,0,108.7
Lynn,01630000,236.1,225.2,263.9,310.2,57.1,59.6,"1,152.10"
Lynnfield,01640000,31.6,28,33.6,47.1,8,10.4,158.6
MATCH Charter Public School (District),04690000,26,20,25,30.4,12.1,0,113.5
Ma Academy for Math and Science,04680000,0,0,0,6,0,0,6
Malden,01650000,117.7,105.7,104.3,116.2,24.5,5.1,473.5
Manchester Essex Regional,06980000,25,29.5,31.8,43.3,0,0,129.6
Mansfield,01670000,45.4,45.3,80.7,95.5,7.5,21.6,296
Map Academy Charter School (District),35170000,0,0,0,5.1,10.7,3.3,19
Marblehead,01680000,48.4,59.6,58.4,88.5,0,1.8,256.7
Marblehead Community Charter Public (District),04640000,0,9,12.3,0,0,0,21.3
Marion,01690000,14.6,12.1,5,0,1,0,32.7
Marlborough,01700000,107.2,81.6,93.6,92.8,6.7,14.2,396.1
Marshfield,01710000,55.1,53.5,68.1,98.6,57.5,0.5,333.4
Martha's Vineyard,07000000,0,0,0,68.6,4,1.9,74.6
Martha's Vineyard Charter (District),04660000,3.5,2.6,6.2,0.8,5.4,0,18.5
Martin Luther King Jr. Charter School of Excellence (District),04920000,18,16.5,0,0,6,0,40.5
Masconomet,07050000,0,0,42.9,52.8,18.4,14.5,128.6
Mashpee,01720000,38.5,28.9,34.8,40.1,1.1,0,143.3
Mattapoisett,01730000,16.5,15.8,5,0,0,0.5,37.8
Maynard,01740000,24.8,22.4,22.9,29.1,3.5,4.3,106.9
Medfield,01750000,35.8,38.6,53.3,60.7,0.2,12,200.6
Medford,01760000,63.3,57.5,90.8,89.5,82.6,0,383.8
Medway,01770000,38.6,29.4,41.5,30.6,28.5,0.6,169.3
Melrose,01780000,63.3,52.6,58.6,73.2,7,24.4,279.1
Mendon-Upton,07100000,32.1,34.9,39,45.3,1.1,4.1,156.5
Methuen,01810000,118,113.1,117.1,102.1,4.3,35.5,490
Middleborough,01820000,52.5,53.4,52.8,66.4,2,0.2,227.4
Middleton,01840000,29.6,23.3,9.4,0,5.5,0,67.8
Milford,01850000,84.2,77.8,76.7,93.4,0,6.1,338.2
Millbury,01860000,31,28.9,34.8,39.5,0,0.3,134.4
Millis,01870000,16,15.5,24.7,11.3,30.4,0,97.9
Milton,01890000,57.5,53.6,55.5,80.5,57.2,13.2,317.5
Minuteman Regional Vocational Technical,08300000,0,0,0,76.5,0,0,76.5
Mohawk Trail,07170000,17.2,15.4,14.9,21.6,0,0.3,69.4
Monomoy Regional School District,07120000,33.1,42.1,44.3,46.5,0,1.6,167.6
Monson,01910000,15.6,15.7,17.3,19.6,10.6,0.9,79.7
Montachusett Regional Vocational Technical,08320000,0,0,0,105,0,0,105
Mount Greylock,07150000,22.2,20.6,19.4,24.7,24.7,0,111.6
Mystic Valley Regional Charter (District),04700000,22.5,17.2,20.9,43.1,0.2,0,103.8
Nahant,01960000,5.5,3.7,1.2,0,1,0,11.4
Nantucket,01970000,39.1,29.7,35.5,47.7,1,1.3,154.3
Narragansett,07200000,18.3,19.4,27.8,15,18.4,0,99
Nashoba,07250000,44.6,53.8,72.1,47,45.7,2.2,265.4
Nashoba Valley Regional Vocational Technical,08520000,0,0,0,64.3,0,0,64.3
Natick,01980000,75.2,83.4,110.5,123.7,44,0,436.8
Nauset,06600000,0,0,50.6,77.8,0,4.4,132.8
Needham,01990000,71.5,72.7,112.2,103,35,27,421.4
Neighborhood House Charter (District),04440000,9.6,9.9,18.7,29.6,6.6,0,74.4
New Bedford,02010000,283.1,262.5,246,199.6,0,0,991.2
New Heights Charter School of Brockton (District),35130000,0,0,21.5,16.5,13.3,0,51.2
New Salem-Wendell,07280000,4.1,2.5,1,0,5,0,12.5
Newburyport,02040000,39,42.2,46.4,61.1,0,2,190.7
Newton,02070000,176.2,192.1,258.5,316.6,138,9.6,"1,091.00"
Norfolk,02080000,28.5,23.6,7.3,0,20.8,0,80.2
Norfolk County Agricultural,09150000,0,0,0,56.1,0,0,56.1
North Adams,02090000,27.7,21.9,19.4,5.7,45.8,1,121.5
North Andover,02110000,94.1,70.4,55.3,52.3,32.8,17.8,322.6
North Attleborough,02120000,63.5,58.5,70.9,79.1,0,19.7,291.7
North Brookfield,02150000,10.7,10.3,9.4,8.9,1.8,0.2,41.2
North Middlesex,07350000,53.4,59.1,64.8,57.8,1,6.6,242.6
North Reading,02170000,38.2,36.4,50.5,64.2,18.3,3.6,211.1
Northampton,02100000,36.2,32.8,57.2,58.6,34.9,14.6,234.3
Northampton-Smith Vocational Agricultural,04060000,0,0,0,57,0,0,57
Northboro-Southboro,07300000,0,0,0,54.1,59.3,0,113.4
Northborough,02130000,38.7,45.2,50.2,0,3.9,0,138
Northbridge,02140000,31.3,24.9,31.7,45,29.5,1,163.4
Northeast Metropolitan Regional Vocational Technical,08530000,0,0,0,115.1,0,1.2,116.3
Northern Berkshire Regional Vocational Technical,08510000,0,0,0,42.1,0,0.3,42.5
Norton,02180000,42,35.3,43.1,24.9,28.7,10.9,184.8
Norwell,02190000,28,29.1,35,48.7,19.6,0.5,160.8
Norwood,02200000,68,63.5,58.3,69.1,14.9,25.8,299.6
Oak Bluffs,02210000,13.8,10.5,11.9,0,9.8,1,46.9
Old Colony Regional Vocational Technical,08550000,0,0,0,54,6,0,60
Old Rochester,07400000,0,0,35,37.3,14.5,3.9,90.6
Old Sturbridge Academy Charter Public School (District),35150000,6,6,2,0,1,5,20
Orange,02230000,14.7,13.9,4,0,7.2,0,39.8
Orleans,02240000,8.6,11.4,0,0,0,0,20
Oxford,02260000,19.8,22.2,24.4,32.1,15.7,2.2,116.4
Palmer,02270000,27.3,23,30.6,24.6,3.9,1.7,111
Pathfinder Regional Vocational Technical,08600000,0,0,0,68.5,0,0,68.5
Paulo Freire Social Justice Charter School (District),35010000,0,0,0,21.2,0,0,21.2
Peabody,02290000,100.9,88.9,80.2,114.8,31.3,12.2,428.2
Pelham,02300000,3.8,3.8,1.3,0,3.4,0,12.2
Pembroke,02310000,37.9,33.7,39.2,44.1,25.8,5.3,186
Pentucket,07450000,40.7,43.5,41,36.6,7.9,11.7,181.3
Petersham,02340000,5.5,6,1.6,0,0,0,13
Phoenix Academy Public Charter High School Lawrence (District),35180000,0,0,0,0,10,0,10
