District Name,District Code,General Education (#),Special Education (#),Career Vocational Technical (#),English Language Learner (#),FTE Count
Pathfinder Regional Vocational Technical,08600000,30.7,0,37.8,0,68.5
Paulo Freire Social Justice Charter School (District),35010000,21.2,0,0,0,21.2
Peabody,02290000,358.5,45.4,8,16.4,428.2
Pelham,02300000,9,3,0,0.2,12.2
Pembroke,02310000,167.4,15.5,0,3,186
Pentucket,07450000,137.9,41.1,1.2,1,181.2
Petersham,02340000,13,0,0,0,13
Phoenix Academy Public Charter High School Lawrence (District),35180000,10,0,0,0,10
Phoenix Academy Public Charter High School Springfield (District),35080000,7.6,0,0,0,7.6
Phoenix Charter Academy (District),04930000,13.7,0,0,0,13.7
Pioneer Charter School of Science (District),04940000,64.8,5.3,0,2.3,72.4
Pioneer Charter School of Science II (PCSS-II) (District),35060000,30.3,4.6,0,1,35.9
Pioneer Valley,07500000,57.6,3,0,0,60.6
Pioneer Valley Chinese Immersion Charter (District),04970000,65,4,0,1.7,70.6
Pioneer Valley Performing Arts Charter Public (District),04790000,38.1,3.2,0,0,41.3
Pittsfield,02360000,385.2,64.5,24.4,12,486.1
Plainville,02380000,44.2,0,0,0,44.2
Plymouth,02390000,488.5,116.6,27.6,1,633.7
Plympton,02400000,16.3,3,0,0,19.3
Prospect Hill Academy Charter (District),04870000,94.6,12.5,0,1.9,109
Provincetown,02420000,16.2,1,0,1,18.2
Quabbin,07530000,138.8,2,0,0,140.8
Quaboag Regional,07780000,95.8,0,0,0,95.8
Quincy,02430000,564.3,108.2,22.2,42.5,737.2
Ralph C Mahar,07550000,57.6,0,0,0,57.6
Randolph,02440000,160.4,47,0,5.1,212.4
Reading,02460000,250.8,63.6,0,1.6,316
Revere,02480000,442.2,83.5,0,35.4,561.1
Richmond,02490000,19.3,0,0,0,19.3
Rising Tide Charter Public (District),04830000,52.2,8,0,0,60.2
River Valley Charter (District),04820000,24.7,0,0,0,24.7
Rochester,02500000,36.1,5,0,0,41.1
Rockland,02510000,168.3,5.7,0,1.3,175.2
Rockport,02520000,89,0.3,0,0,89.2
Rowe,02530000,8.3,0,0,0,8.3
Roxbury Preparatory Charter (District),04840000,86.3,0,0,0,86.3
Sabis International Charter (District),04410000,74,11.3,0,0,85.3
Salem,02580000,289.6,22.4,8.6,2.9,323.6
Salem Academy Charter (District),04850000,36.1,6.8,0,1.5,44.4
Sandwich,02610000,200.5,7.6,0,1,209.1
Saugus,02620000,151.3,20,3,0,174.3
Savoy,02630000,5.6,0,0,0,5.6
Scituate,02640000,223.7,17.4,0,0,241.1
Seekonk,02650000,136.2,25.6,0,4,165.8
Sharon,02660000,244.8,0,0,0,244.8
Shawsheen Valley Regional Vocational Technical,08710000,48.9,10.7,65,0,124.6
Sherborn,02690000,29.5,4,0,0,33.5
Shrewsbury,02710000,364.1,31,0,5.7,400.8
Shutesbury,02720000,12.6,3,0,0,15.6
Silver Lake,07600000,102.3,14.8,16,0.5,133.6
Sizer School: A North Central Charter Essential (District),04740000,33.7,5.1,0,0,38.7
Somerset,02730000,100.1,22,0,2,124.1
Somerset Berkley Regional School District,07630000,67,10.2,0,0,77.2
Somerville,02740000,273.9,68.8,17.9,63.5,424.1
South Hadley,02780000,136,3,2,1,142
South Middlesex Regional Vocational Technical,08290000,34.1,12,37,0,83.1
South Shore Charter Public (District),04880000,81.3,17,0,3,101.3
South Shore Regional Vocational Technical,08730000,28.5,0,30.7,1,60.2
Southampton,02750000,31.1,7,0,0.3,38.4
Southborough,02760000,103.4,4,0,0,107.3
Southbridge,02770000,126.4,19,0,11.4,156.8
Southeastern Regional Vocational Technical,08720000,50.5,11,52.8,1,115.3
Southern Berkshire,07650000,60,13.4,0,0.3,73.7
Southern Worcester County Regional Vocational Technical,08760000,46.7,7.5,56,0,110.2
Southwick-Tolland-Granville Regional School District,07660000,111.1,11.6,0,2,124.7
Spencer-E Brookfield,07670000,85.1,18.4,0.9,0.1,104.4
Springfield,02810000,1490,476.6,36.6,93.5,2096.7
Springfield Preparatory Charter School (District),35100000,30.4,0,0,1,31.4
Stoneham,02840000,171.4,31.5,0,4.4,207.3
Stoughton,02850000,257.3,39.4,0,3.3,300.1
Sturbridge,02870000,57.7,14.5,0,0,72.2
Sturgis Charter Public (District),04890000,91.8,0,0,0,91.8
Sudbury,02880000,155.9,41.7,0,3.3,200.9
Sunderland,02890000,18.1,4,0,1,23.1
Sutton,02900000,81.5,11.1,0,0,92.6
Swampscott,02910000,149.7,28.5,0,7.5,185.7
Swansea,02920000,141,18.7,1,1,161.8
TEC Connections Academy Commonwealth Virtual School District,39020000,69.3,17.6,0,0,86.9
Tantasqua,07700000,114.9,1,15.4,0,131.3
Taunton,02930000,444.1,58.4,15.7,13,531.2
Tewksbury,02950000,209.3,38.5,0,4.9,252.6
Tisbury,02960000,34.2,4.6,0,1,39.8
Topsfield,02980000,45,10.7,0,0,55.7
Tri-County Regional Vocational Technical,08780000,34.4,10,39.8,0,84.2
Triton,07730000,158.5,34,0,2,194.5
Truro,03000000,14.2,0,0,0,14.2
Tyngsborough,03010000,104.3,17.9,0,1.9,124.2
UP Academy Charter School of Boston (District),04800000,22.4,9.9,0,3,35.3
UP Academy Charter School of Dorchester (District),35050000,38.2,5,0,2.5,45.7
Up-Island Regional,07740000,46,4,0,0,50
Upper Cape Cod Regional Vocational Technical,08790000,30.7,0,41,0,71.7
Uxbridge,03040000,111.4,21.7,0,2,135.1
Veritas Preparatory Charter School (District),04980000,31,0,0,0,31
Wachusett,07750000,453.1,0,0,0.5,453.6
Wakefield,03050000,232.3,26,2.3,5,265.6
Wales,03060000,8.5,1,0,0,9.5
Walpole,03070000,238.5,39,0,5,282.5
Waltham,03080000,419.3,39.8,15.7,31.4,506.2
Ware,03090000,69.1,17.4,0.2,2,88.6
Wareham,03100000,172,0,0,0,172
Watertown,03140000,212.2,32.8,0,14.7,259.6
Wayland,03150000,180.6,41.3,1.7,5,228.5
Webster,03160000,102.6,25.3,0,5,132.9
Wellesley,03170000,387.2,28,0,5.1,420.3
Wellfleet,03180000,13.2,2,0,0,15.2
West Boylston,03220000,75.3,9.9,0,1.5,86.7
West Bridgewater,03230000,90.1,6,0,1.5,97.6
West Springfield,03320000,255.3,57,0,11.6,323.9
Westborough,03210000,259,59,0,18.1,336.1
Westfield,03250000,372.4,25.4,15.4,0.3,413.6
Westford,03260000,305.8,34.5,0,4.6,345
Westhampton,03270000,13.3,2,0,0.2,15.5
Weston,03300000,155,22.3,0,2.2,179.5
Westport,03310000,107.1,10.3,0,0,117.4
Westwood,03350000,216.9,24,0,1.7,242.5
Weymouth,03360000,306.6,96,15.9,8,426.5
Whately,03370000,9.2,3,0,0.4,12.6
Whitman-Hanson,07800000,204.6,39.6,0,2,246.2
Whittier Regional Vocational Technical,08850000,63.1,0,42.9,0,106
Williamsburg,03400000,13.8,3,0,0.5,17.3
Wilmington,03420000,220.8,43.6,3,1.6,268.9
Winchendon,03430000,74.6,3.3,0,0,77.9
Winchester,03440000,301,40.8,0,6.9,348.7
Winthrop,03460000,143,7.2,0,0,150.2
Woburn,03470000,323.4,32.1,0,6,361.5
Worcester,03480000,1680.9,0,65.7,94,1840.6
Worthington,03490000,6.4,1,0,0,7.4
Wrentham,03500000,60.6,12.5,0,1,74.2
State Totals,00000000,61947.2,9316.5,1895.9,1987.1,75146.7
